dataset,method,subset,n,mean_entropy,median_entropy,std_entropy,mean_confidence,median_confidence,std_confidence
pets,freetta,all,3669,0.43339507253742127,0.25351887941360474,0.44987832783718223,0.8524020398083875,0.9464881420135498,0.1860084235591432
pets,freetta,correct,3263,0.35463288704495116,0.19333459436893463,0.3850209271815476,0.8874856058417965,0.9622104167938232,0.15475756917691608
pets,freetta,wrong,406,1.0664024894387263,1.0215927362442017,0.43247061144727394,0.5704373206778113,0.5547512769699097,0.17547072318993545
pets,conf_ftta,all,3669,0.43315796213686814,0.2525050938129425,0.45046849262523886,0.8525139840650247,0.946886420249939,0.18618593408605622
pets,conf_ftta,correct,3256,0.3512902583609053,0.19187407940626144,0.3804000369478156,0.8888251620827641,0.9625060260295868,0.1528816172739476
pets,conf_ftta,wrong,413,1.0785847018330783,1.026887059211731,0.4387274329787436,0.5662447452617326,0.552615225315094,0.17705146556330445
pets,ent_tda,all,3669,0.40215474396781486,0.21170513331890106,0.4454957745853446,0.864511936143524,0.9570439457893372,0.18052548216612221
pets,ent_tda,correct,3278,0.32747279055909684,0.16638977825641632,0.381485773693852,0.897446393439361,0.9689823389053345,0.14879130756373565
pets,ent_tda,wrong,391,1.0282607369953791,0.9853101968765259,0.45109560888544686,0.5884015754894223,0.5702126622200012,0.1867429405679161
pets,hybrid,all,3669,0.424788082538909,0.2398156225681305,0.4504806401457856,0.8551356705130527,0.9505172967910767,0.18532575532582227
pets,hybrid,correct,3268,0.34751705689341,0.18444542586803436,0.38634461132500125,0.8889459607486626,0.9648169875144958,0.15544911888929497
pets,hybrid,wrong,401,1.054518037176043,1.0041472911834717,0.44171124101523745,0.5795944523335692,0.5749316215515137,0.17910771318887186
